MANIFESTATIONS SPORTIVES 2009/2010,,,,,,,
,,,,,,,
  MANIFESTATIONS MAJEURES,,,,,,,
NB : Les nouvelles manifestations sont indiques en gras,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Mois,"Date

",Manifestations,Type,Lieux,Organisateurs,Secteur,Quartiers
oct-09,"24

",Inauguration Boulodromme JO BARGAS,,Boulodrome - Place de Bagatelle,"Service des Sports

",Rive Gauche,2.3
oct-09,"24 et 25

",Open T.K.D,"*

",Compans,Comit‚ R‚gional Tae Kwon Do,Centre,1.2
oct-09,25,Eliminatoire Championnat de France Savate,,GIAT - Pierre Montan‚,Ligue Midi Pyr‚n‚es Savate,Ouest,6.1
oct-09,25,Concours de P‚tanque,,Place du Ravelin,P‚tanque Ravelin,Rive Gauche,2.1
oct-09,"26,27,28 et 30",Tournoi International Rugby XIII R‚ception Equipe Nouvelle Z‚lande,,Arnaun‚ - Terrain,Toulouse Olympique XIII,Nord,3.1
oct-09,"29 et 30

",Echanges autour de Pratiques Sportives Free Style,,la Faourette - Gymnase et Terrains,Association Solidarit‚ Jeunesse Inter,Rive Gauche,2.3
oct-09,"31

",Foire aux Jouets et V‚tements,,"La Halle de Bagatelle

","Stop … la Violence

",Rive Gauche,2.3
oct-09,"31

",Stage Perfectionnement,,Pradettes,Club de Karat‚ Pradettes,Ouest,6.2
oct-09,"31 et 1er Nov

",Coupe de France Rugby XIII,,Arnaun‚ - Gymnase,Stade Toulousain Rugby Handisport,Nord,3.1
nov-09,"2,3 et 4",Echanges autour de Pratiques Sportives Foot Salle,,Faourette - Gymnase,Association Solidarit‚ Jeunesse Internationale,Rive Gauche,2.3
nov-09,4 et 5,Soir‚e B‚n‚voles et Soir‚e Partenaires,,Arnaun‚ - Club House + Terrain Rugby Honneur,Toulouse Olympique XIII,Nord,3.1
nov-09,"4 et 11

",Hippodrome de Toulouse,,Hippodrome de Toulouse,Hippodrome de Toulouse,Ouest,6.1
nov-09,"7

","Concours de P‚tanque

",,Boulodrome Dubarry,Bouling Club de Roguet,Ouest,6.1
nov-09,"7 et 8

","Concours de tir en salle

",,Gymnase de Gironis,Tlse Athl‚tic Club - Tir … l'Arc,Ouest,6.5
nov-09," 8

",Finale Ligue Elite B Savate,,Giat - Pierre Montan‚,Ligue Midi Pyr‚n‚es Savate,Ouest,6.1
nov-09,9 et 10,Cross,,Lac Gironis,CollŠge Reynerie,Ouest,6.5
nov-09,"10

",Cross d'Etablissment,,Struxiano,CollŠge Anatole France,Sud Est,5.1
nov-09,10 et 11,Soir‚e et Tournoi Tennis de Table,,ASPTT - Soupetard,ASPTT,Est,4.3
nov-09,11,Marche Mondiale pour la Paix,,"Parking Stadium sous le pont




",Mille et un motards,Sud Est,5.3
nov-09,11,Championnats r‚gionaux Handisport,,Piscine Pech David,Comit‚ R‚gional Handisport,Sud Est,5.2
nov-09,"13

",FRANCE / AFRIQUE DU SUD  Rugby,,Stadium,F‚d‚ration Fran‡aise de Rugby,Sud Est,5.3
nov-09,14,Alg‚rie / Egypte,,Bagatelle - Halle,"Stop … la Violence

",Rive Gauche,2.3
nov-09,14,Inauguration City Stade Poudrerie,,City Stade Poudrerie,Cabinet du Maire,sud Est,5.3
nov-09,"14


","Tcup, TOULOUSE cup
Tournoi … 4 de KICK BOXING
(mise en place le 13 d‚montage le 15)", ,Compans,Tago Gym,Centre,1.2
nov-09,15,Concours Hippique,,Pech David,"Club Hippique de Pech David

",Sud Est,5.2
nov-09,15,Vide Grenier,,Struxiano,A.S. Maccabi Toulouse,Sud Est,5.1
nov-09,15,Concours de P‚tanque,,Place du Ravelin,Club de P‚tanque du Ravelin,Rive Gauche,2.1
nov-09,"18


",Comp‚tition Dpt Individuel,,Piscine Nakache,UGSEL,Sud Est,5.3
nov-09,18,Retransmission t‚l‚vis‚e                 Alg‚rie / Egypte,,Bagatelle - Halle,"Stop … la Violence

",Rive Gauche,2.3
nov-09,20,Parlement du Sport,,M‚diathŠque,Monsieur Brian‡on,Centre,1.2
nov-09,"21


",Gala de Catch,,Compans,Asso. 2 FC Catch,Centre,1.2
nov-09,"21


",Rencontre Inter Club Boxe Educative,,Faourette - Salle de Boxe,Boxing Toulouse Bagatelle,Rive Gauche,2.3
nov-09,"21 et 22


",24Šme Tournoi de Badminton,,GIAT - Pierre Montan‚,TOAC Badminton,Ouest,6.1
nov-09,26,"T‚l‚thon - AprŠs Midi ""Olympiades""",,Sordelo,Facult‚ de M‚decine de Toulouse,Sud Est,5.2
